"race_m","income","income_q"
"White",4000,7.58
"White",4000,7.59
"White",4000,7.6
"White",4000,7.61
"White",4000,7.62
"White",4100,7.63
"White",4100,7.64
"White",4100,7.65
"White",4200,7.66
"White",4200,7.67
"White",4200,7.68
"White",4200,7.69
"White",4200,7.7
"White",4200,7.71
"White",4300,7.72
"White",4300,7.73
"White",4300,7.74
"White",4400,7.75
"White",4400,7.76
"White",4400,7.77
"White",4400,7.78
"White",4500,7.79
"White",4500,7.8
"White",4500,7.81
"White",4500,7.82
"White",4500,7.83
"White",4500,7.84
"White",4500,7.85
"White",4500,7.86
"White",4500,7.87
"White",4500,7.88
"White",4500,7.89
"White",4500,7.9
"White",4500,7.91
"White",4600,7.92
"White",4600,7.93
"White",4600,7.94
"White",4600,7.95
"White",4700,7.96
"White",4700,7.97
"White",4700,7.98
"White",4800,7.99
"White",4800,8
"White",4800,8.01
"White",4800,8.02
"White",4800,8.03
"White",4800,8.04
"White",4800,8.05
"White",4800,8.06
"White",4800,8.07
"White",4858.30399999999,8.08
"White",4900,8.09
"White",4900,8.1
"White",5000,8.11
"White",5000,8.12
"White",5000,8.13
"White",5000,8.14
"White",5000,8.15
"White",5000,8.16
"White",5000,8.17
"White",5000,8.18
"White",5000,8.19
"White",5000,8.2
"White",5000,8.21
"White",5000,8.22
"White",5000,8.23
"White",5000,8.24
"White",5000,8.25
"White",5000,8.26
"White",5000,8.27
"White",5000,8.28
"White",5000,8.29
"White",5000,8.3
"White",5000,8.31
"White",5000,8.32
"White",5000,8.33
"White",5000,8.34
"White",5000,8.35
"White",5000,8.36
"White",5000,8.37
"White",5000,8.38
"White",5000,8.39
"White",5000,8.4
"White",5000,8.41
"White",5000,8.42
"White",5000,8.43
"White",5000,8.44
"White",5000,8.45
"White",5000,8.46
"White",5000,8.47
"White",5000,8.48
"White",5000,8.49
"White",5000,8.5
"White",5000,8.51
"White",5000,8.52
"White",5000,8.53
"White",5000,8.54
"White",5000,8.55
"White",5000,8.56
"White",5000,8.57
"White",5000,8.58
"White",5000,8.59
"White",5000,8.6
"White",5000,8.61
"White",5000,8.62
"White",5000,8.63
"White",5000,8.64
"White",5000,8.65
"White",5000,8.66
"White",5000,8.67
"White",5000,8.68
"White",5000,8.69
"White",5000,8.7
"White",5000,8.71
"White",5000,8.72
"White",5000,8.73
"White",5000,8.74
"White",5000,8.75
"White",5000,8.76
"White",5000,8.77
"White",5000,8.78
"White",5001.88080000001,8.79
"White",5099.43999999996,8.8
"White",5100,8.81
"White",5100,8.82
"White",5170,8.83
"White",5200,8.84
"White",5200,8.85
"White",5200,8.86
"White",5200,8.87
"White",5250,8.88
"White",5300,8.89
"White",5300,8.9
"White",5300,8.91
"White",5360,8.92
"White",5400,8.93
"White",5400,8.94
"White",5400,8.95
"White",5465.74399999998,8.96
"White",5500,8.97
"White",5500,8.98
"White",5500,8.99
"White",5500,9
"White",5500,9.01
"White",5500,9.02
"White",5530,9.03
"White",5600,9.04
"White",5600,9.05
"White",5600,9.06
"White",5600,9.07
"White",5700,9.08
"White",5700,9.09
"White",5700,9.1
"White",5800,9.11
"White",5800,9.12
"White",5800,9.13
"White",5800,9.14
"White",5900,9.15
"White",5900,9.16
"White",6000,9.17
"White",6000,9.18
"White",6000,9.19
"White",6000,9.2
"White",6000,9.21
"White",6000,9.22
"White",6000,9.23
"White",6000,9.24
"White",6000,9.25
"White",6000,9.26
"White",6000,9.27
"White",6000,9.28
"White",6000,9.29
"White",6000,9.3
"White",6000,9.31
"White",6000,9.32
"White",6000,9.33
"White",6000,9.34
"White",6000,9.35
"White",6000,9.36
"White",6000,9.37
"White",6000,9.38
"White",6000,9.39
"White",6000,9.4
"White",6000,9.41
"White",6000,9.42
"White",6000,9.43
"White",6000,9.44
"White",6000,9.45
"White",6000,9.46
"White",6000,9.47
"White",6000,9.48
"White",6000,9.49
"White",6000,9.5
"White",6000,9.51
"White",6000,9.52
"White",6000,9.53
"White",6000,9.54
"White",6000,9.55
"White",6000,9.56
"White",6000,9.57
"White",6000,9.58
"White",6000,9.59
"White",6000,9.6
"White",6000,9.61
"White",6000,9.62
"White",6000,9.63
"White",6000,9.64
"White",6080,9.65
"White",6100,9.66
"White",6100,9.67
"White",6200,9.68
"White",6200,9.69
"White",6200,9.7
"White",6200,9.71
"White",6210,9.72
"White",6300,9.73
"White",6300,9.74
"White",6300,9.75
"White",6400,9.76
"White",6400,9.77
"White",6400,9.78
"White",6418.50200000001,9.79
"White",6500,9.8
"White",6500,9.81
"White",6500,9.82
"White",6500,9.83
"White",6500,9.84
"White",6500,9.85
"White",6500,9.86
"White",6500,9.87
"White",6600,9.88
"White",6600,9.89
"White",6600,9.9
"White",6680,9.91
"White",6700,9.92
"White",6700,9.93
"White",6700,9.94
"White",6800,9.95
"White",6800,9.96
"White",6800,9.97
