"income_q_race","scenario","race","welfare"
100,"Reparations","Whites",-0.0645385211375711
99.9999298725731,"Reparations","Whites",-0.0645385211375711
99.9997656267575,"Reparations","Whites",-0.0645385211375711
99.9991049525779,"Reparations","Whites",-0.0645385211375711
99.998501487615,"Reparations","Whites",-0.0645385211375711
99.9982818780413,"Reparations","Whites",-0.0645385211375711
99.9981582323149,"Reparations","Whites",-0.0645385211375711
99.9969383841788,"Reparations","Whites",-0.0645385211375711
99.9967907474906,"Reparations","Whites",-0.0645385211375711
99.9966892472675,"Reparations","Whites",-0.0645385211375711
99.9963921284326,"Reparations","Whites",-0.0645385211375711
99.9955229174309,"Reparations","Whites",-0.0645385211375711
99.9951962712583,"Reparations","Whites",-0.0645385211375711
99.9947072247287,"Reparations","Whites",-0.0645385211375711
99.9946352518432,"Reparations","Whites",-0.0645385211375711
99.9945429789131,"Reparations","Whites",-0.0645385211375711
99.994279078333,"Reparations","Whites",-0.0645385211375711
99.9940483960077,"Reparations","Whites",-0.0645385211375711
99.9939247502813,"Reparations","Whites",-0.0645385211375711
99.9937918772619,"Reparations","Whites",-0.0645385211375711
99.9934892220512,"Reparations","Whites",-0.0645385211375711
99.9929060571328,"Reparations","Whites",-0.0645385211375711
99.992710438521,"Reparations","Whites",-0.0645385211375711
99.9924705289027,"Reparations","Whites",-0.0645385211375711
99.9922306192844,"Reparations","Whites",-0.0645385211375711
99.991717581793,"Reparations","Whites",-0.0645385211375711
99.991689899914,"Reparations","Whites",-0.0645385211375711
99.9914758267161,"Reparations","Whites",-0.0645385211375711
99.9912525262252,"Reparations","Whites",-0.0645385211375711
99.9901175691848,"Reparations","Whites",-0.0645385211375711
99.9899883870826,"Reparations","Whites",-0.0645385211375711
99.989931177866,"Reparations","Whites",-0.0645385211375711
99.9898130685154,"Reparations","Whites",-0.0645385211375711
99.9896746591203,"Reparations","Whites",-0.0645385211375711
99.9894882678014,"Reparations","Whites",-0.0645385211375711
99.9868344983314,"Reparations","Whites",-0.0645385211375711
99.9867514526943,"Reparations","Whites",-0.0645385211375711
99.9866444160953,"Reparations","Whites",-0.0645385211375711
99.9864303428975,"Reparations","Whites",-0.0645385211375711
99.9861535241071,"Reparations","Whites",-0.0645385211375711
99.986079705763,"Reparations","Whites",-0.0645385211375711
99.9858951599028,"Reparations","Whites",-0.0645385211375711
99.9858121142657,"Reparations","Whites",-0.0645385211375711
99.9854577862141,"Reparations","Whites",-0.0645385211375711
99.9853802769528,"Reparations","Whites",-0.0645385211375711
99.9851606673791,"Reparations","Whites",-0.0645385211375711
99.9850444034872,"Reparations","Whites",-0.0645385211375711
99.9840626195108,"Reparations","Whites",-0.0645385211375711
99.983922364657,"Reparations","Whites",-0.0645385211375711
99.978149770149,"Reparations","Whites",-0.0645385211375711
99.9778544967727,"Reparations","Whites",-0.0645385211375711
99.9777529965496,"Reparations","Whites",-0.0645385211375711
99.9775352324345,"Reparations","Whites",-0.0645385211375711
