"class_f","income","income_q"
"Reserve Army",1500,33.17
"Reserve Army",1500,33.18
"Reserve Army",1500,33.19
"Reserve Army",1500,33.2
"Reserve Army",1500,33.21
"Reserve Army",1500,33.22
"Reserve Army",1500,33.23
"Reserve Army",1500,33.24
"Reserve Army",1500,33.25
"Reserve Army",1500,33.26
"Reserve Army",1500,33.27
"Reserve Army",1500,33.28
"Reserve Army",1500,33.29
"Reserve Army",1500,33.3
"Reserve Army",1500,33.31
"Reserve Army",1500,33.32
"Reserve Army",1500,33.33
"Reserve Army",1500,33.34
"Reserve Army",1500,33.35
"Reserve Army",1500,33.36
"Reserve Army",1500,33.37
"Reserve Army",1500,33.38
"Reserve Army",1500,33.39
"Reserve Army",1500,33.4
"Reserve Army",1500,33.41
"Reserve Army",1500,33.42
"Reserve Army",1500,33.43
"Reserve Army",1500,33.44
"Reserve Army",1500,33.45
"Reserve Army",1500,33.46
"Reserve Army",1500,33.47
"Reserve Army",1500,33.48
"Reserve Army",1500,33.49
"Reserve Army",1536.70000000002,33.5
"Reserve Army",1590,33.51
"Reserve Army",1600,33.52
"Reserve Army",1600,33.53
"Reserve Army",1600,33.54
"Reserve Army",1600,33.55
"Reserve Army",1600,33.56
"Reserve Army",1600,33.57
"Reserve Army",1600,33.58
"Reserve Army",1600,33.59
"Reserve Army",1600,33.6
"Reserve Army",1600,33.61
"Reserve Army",1600,33.62
"Reserve Army",1600,33.63
"Reserve Army",1600,33.64
"Reserve Army",1600,33.65
"Reserve Army",1600,33.66
"Reserve Army",1600,33.67
"Reserve Army",1600,33.68
"Reserve Army",1600,33.69
"Reserve Army",1600,33.7
"Reserve Army",1600,33.71
"Reserve Army",1600,33.72
"Reserve Army",1600,33.73
"Reserve Army",1600,33.74
"Reserve Army",1600,33.75
"Reserve Army",1600,33.76
"Reserve Army",1600,33.77
"Reserve Army",1600,33.78
"Reserve Army",1600,33.79
"Reserve Army",1600,33.8
"Reserve Army",1600,33.81
"Reserve Army",1630,33.82
"Reserve Army",1650,33.83
"Reserve Army",1690,33.84
"Reserve Army",1700,33.85
"Reserve Army",1700,33.86
"Reserve Army",1700,33.87
"Reserve Army",1700,33.88
"Reserve Army",1700,33.89
"Reserve Army",1700,33.9
"Reserve Army",1700,33.91
"Reserve Army",1700,33.92
"Reserve Army",1700,33.93
"Reserve Army",1700,33.94
"Reserve Army",1700,33.95
"Reserve Army",1700,33.96
"Reserve Army",1700,33.97
"Reserve Army",1700,33.98
"Reserve Army",1700,33.99
"Reserve Army",1700,34
"Reserve Army",1700,34.01
"Reserve Army",1719.208,34.02
"Reserve Army",1800,34.03
"Reserve Army",1800,34.04
"Reserve Army",1800,34.05
"Reserve Army",1800,34.06
"Reserve Army",1800,34.07
"Reserve Army",1800,34.08
"Reserve Army",1800,34.09
"Reserve Army",1800,34.1
"Reserve Army",1800,34.11
"Reserve Army",1800,34.12
"Reserve Army",1800,34.13
"Reserve Army",1800,34.14
"Reserve Army",1800,34.15
"Reserve Army",1800,34.16
"Reserve Army",1800,34.17
"Reserve Army",1800,34.18
"Reserve Army",1800,34.19
"Reserve Army",1800,34.2
"Reserve Army",1800,34.21
"Reserve Army",1800,34.22
"Reserve Army",1800,34.23
"Reserve Army",1800,34.24
"Reserve Army",1800,34.25
"Reserve Army",1800,34.26
"Reserve Army",1800,34.27
"Reserve Army",1800,34.28
"Reserve Army",1800,34.29
"Reserve Army",1800,34.3
"Reserve Army",1800,34.31
"Reserve Army",1800,34.32
"Reserve Army",1800,34.33
"Reserve Army",1800,34.34
"Reserve Army",1800,34.35
"Reserve Army",1800,34.36
"Reserve Army",1800,34.37
"Reserve Army",1800,34.38
"Reserve Army",1800,34.39
"Reserve Army",1800,34.4
"Reserve Army",1814.28200000002,34.41
"Reserve Army",1880,34.42
"Reserve Army",1900,34.43
"Reserve Army",1900,34.44
"Reserve Army",1900,34.45
"Reserve Army",1900,34.46
"Reserve Army",1900,34.47
"Reserve Army",1900,34.48
"Reserve Army",1900,34.49
"Reserve Army",1900,34.5
"Reserve Army",1900,34.51
"Reserve Army",1900,34.52
"Reserve Army",1900,34.53
"Reserve Army",1900,34.54
"Reserve Army",1900,34.55
"Reserve Army",1900,34.56
"Reserve Army",1900,34.57
"Reserve Army",1900,34.58
"Reserve Army",1900,34.59
"Reserve Army",1900.91999999997,34.6
"Reserve Army",1952.32200000002,34.61
"Reserve Army",1990,34.62
"Reserve Army",2000,34.63
"Reserve Army",2000,34.64
"Reserve Army",2000,34.65
"Reserve Army",2000,34.66
"Reserve Army",2000,34.67
"Reserve Army",2000,34.68
"Reserve Army",2000,34.69
"Reserve Army",2000,34.7
"Reserve Army",2000,34.71
"Reserve Army",2000,34.72
"Reserve Army",2000,34.73
"Reserve Army",2000,34.74
"Reserve Army",2000,34.75
"Reserve Army",2000,34.76
"Reserve Army",2000,34.77
"Reserve Army",2000,34.78
"Reserve Army",2000,34.79
"Reserve Army",2000,34.8
"Reserve Army",2000,34.81
"Reserve Army",2000,34.82
"Reserve Army",2000,34.83
